"STUDYID","DOMAIN","VISITNUM","VISIT","VISITDY","ARMCD","TVSTRL","TVENRL"
"CDISCPILOT01","TV",1,"SCREENING 1",-7,"","Start of Screen Epoch","completion of screening activities"
"CDISCPILOT01","TV",2,"SCREENING 2",-1,"","Start of Visitnum 3 - 24H","subject leaves clinic after connection of ambulatory ECG machine"
"CDISCPILOT01","TV",3,"BASELINE",1,"","(Just Before) Start of Treatment Epoch","After application of first dose"
"CDISCPILOT01","TV",3.5,"AMBUL ECG PLACEMENT",13,"","Start of Visitnum  4 - 24H",""
"CDISCPILOT01","TV",4,"WEEK 2",14,"","End of Visitnum  3 + 2W",""
"CDISCPILOT01","TV",5,"WEEK 4",28,"","End of Visitnum  3 + 4W",""
"CDISCPILOT01","TV",6,"AMBUL ECG REMOVAL",30,"","End of Visitnum  5 + 1D",""
"CDISCPILOT01","TV",7,"WEEK 6",42,"","End of Visitnum  3 + 6W",""
"CDISCPILOT01","TV",8,"WEEK 8",56,"","End of Visitnum  3 + 8W",""
"CDISCPILOT01","TV",8.1,"WEEK 10 (T)",70,"","End of Visitnum  8 + 2W",""
"CDISCPILOT01","TV",9,"WEEK 12",84,"","End of Visitnum  3 + 12W",""
"CDISCPILOT01","TV",9.1,"WEEK 14 (T)",98,"","End of Visitnum  9 + 2W",""
"CDISCPILOT01","TV",10,"WEEK 16",112,"","End of Visitnum  3 + 16W",""
"CDISCPILOT01","TV",10.1,"WEEK 18 (T)",126,"","End of Visitnum  10 + 2W",""
"CDISCPILOT01","TV",11,"WEEK 20",140,"","End of Visitnum  3 + 20W",""
"CDISCPILOT01","TV",11.1,"WEEK 22 (T)",154,"","End of Visitnum  11 + 2W",""
"CDISCPILOT01","TV",12,"WEEK 24",168,"","End of Visitnum  3 + 24W",""
"CDISCPILOT01","TV",13,"WEEK 26",182,"","End of Visitnum  3 + 26W",""
"CDISCPILOT01","TV",101,"AE FOLLOW-UP",0,"","When subject is terminated early, with followup visit scheduled by site",""
"CDISCPILOT01","TV",201,"RETRIEVAL",168,"","If subject stopped treatment early, before Visitnum 12, then Retrieval occurs End of Visitnum 3 + 24W",""
"CDISCPILOT01","TV",501,"Rash followup",0,"","If subject experienced rash, then Rash Followup occurs at End of last study visit + 2W",""
